time,eptot,ektot,etot,temp,pres,volume,density,rmsd
183.0,-105319.987,22816.4757,-82503.5113,300.18,0.0,,,0.0
184.0,-105224.9821,22977.9439,-82247.0382,302.31,0.0,,,0.0
185.0,-105552.1239,22780.8732,-82771.2506,299.72,0.0,,,0.0
186.0,-105636.125,22969.4995,-82666.6255,302.2,0.0,,,0.0
187.0,-105573.8203,22766.8779,-82806.9424,299.53,0.0,,,0.0
188.0,-105732.3585,22796.4199,-82935.9386,299.92,0.0,,,0.0
189.0,-105826.972,22708.7881,-83118.1839,298.77,0.0,,,0.0
190.0,-105569.6903,22795.4881,-82774.2021,299.91,0.0,,,0.0
191.0,-105643.9573,22813.9935,-82829.9637,300.15,0.0,,,0.0
192.0,-105608.4413,22733.0303,-82875.411,299.09,0.0,,,0.0
193.0,-105841.6574,23023.7868,-82817.8706,302.91,0.0,,,0.0
194.0,-105615.2264,22850.382,-82764.8444,300.63,0.0,,,0.0
195.0,-105477.6852,22750.8468,-82726.8384,299.32,0.0,,,0.0
196.0,-105335.4192,22831.6603,-82503.7589,300.38,0.0,,,0.0
197.0,-105421.894,22946.2588,-82475.6352,301.89,0.0,,,0.0
198.0,-105501.6911,22890.5397,-82611.1514,301.16,0.0,,,0.0
199.0,-105643.4258,22836.5621,-82806.8637,300.45,0.0,,,0.0
200.0,-105564.7705,22679.8361,-82884.9344,298.39,0.0,,,0.0
201.0,-105330.495,22731.1861,-82599.3089,299.06,-484.1,419799.7099,0.898,0.0
202.0,-105385.335,22854.546,-82530.789,300.69,-54.2,415635.4491,0.907,0.0
203.0,-105370.4841,22757.1687,-82613.3154,299.4,-208.1,411823.3451,0.9154,0.0
204.0,-105537.3453,22843.4357,-82693.9097,300.54,-184.7,410046.5188,0.9193,0.0
205.0,-105289.7314,22670.5119,-82619.2195,298.26,9.6,408312.8055,0.9232,0.0
206.0,-105672.4503,22737.7749,-82934.6754,299.15,-9.1,407281.8975,0.9256,0.0
207.0,-105762.212,22771.3404,-82990.8715,299.59,1.2,405706.2775,0.9292,0.0
208.0,-105477.5291,22801.73,-82675.799,299.99,48.2,404820.8455,0.9312,0.0
209.0,-105652.0965,22879.1249,-82772.9717,301.01,-4.6,403852.1628,0.9334,0.0
210.0,-105433.0519,22730.1905,-82702.8614,299.05,99.5,402848.179,0.9358,0.0
211.0,-105502.7653,22760.248,-82742.5172,299.45,153.7,402386.509,0.9368,0.0
212.0,-105612.4163,22898.8838,-82713.5325,301.27,-117.6,401566.1457,0.9388,0.0
213.0,-105673.694,22636.6396,-83037.0544,297.82,-137.7,400488.9692,0.9413,0.0
214.0,-105284.1882,22893.7144,-82390.4738,301.2,-56.9,401196.6292,0.9396,0.0
215.0,-105408.2494,22727.1618,-82681.0876,299.01,-174.6,399651.3641,0.9433,0.0
216.0,-105532.8957,22836.2958,-82696.5999,300.45,86.5,398807.542,0.9453,0.0
